ID_SITE,ID_FIXTURE,lat,long,FUNCTION,category,AreaNoMarriedExcl,HvsDnoUnmarried,DiwanVSDomestic,simbol
ALO_07/1,48,25.87167,10.03552,DUMP,D,y,n,n,D
ALO_07/1,106,25.87167,10.03579,HUT,D,y,H,n,H
ALO_07/1,107,25.871806,10.036201,HUT,D,y,H,n,H
ALO_07/1,111,25.87152,10.03566,KITCHEN,D,y,n,n,D
ALO_07/1,114,25.87185,10.036137,KITCHEN,D,y,n,n,D
ALO_07/1,108,25.871665,10.035807,STORE,D,y,n,n,D
ALO_07/1,110,25.8716,10.03559,SUPERELEV_STORE,D,y,n,n,D
ALO_07/1,49,25.87147,10.0358,WOOD PILE,D,y,n,n,D
ALO_07/1,76,25.87135,10.03548,O/C,L,y,n,n,L
ALO_07/1,77,25.871342,10.035489,O/C,L,y,n,n,L
ALO_07/1,78,25.87141,10.03548,YOUNG O/C,L,y,n,n,L
ALO_07/1,79,25.87142,10.03549,YOUNG O/C,L,y,n,n,L
ALO_07/1,80,25.87143,10.0355,YOUNG O/C,L,y,n,n,L
ALO_07/1,81,25.87137,10.03559,YOUNG O/C,L,y,n,n,L
IMH_07/1,122,24.756764,10.641689,DIWAN,D,y,D,D,diwan
IMH_07/1,50,24.757738,10.639725,DUMP,D,y,n,o,D
IMH_07/1,96,24.757847,10.639754,DUMP,D,y,n,o,D
IMH_07/1,118,24.7578,10.640268,GARAGE,D,y,n,o,D
IMH_07/1,117,24.757752,10.640296,HUT,D,y,H,o,H
IMH_07/1,121,24.756597,10.64144,HUT,D,y,H,o,H
IMH_07/1,149,24.761182,10.642055,HUT,D,n,n,n,H
IMH_07/1,115,24.757736,10.63984,KITCHEN,D,y,n,o,D
IMH_07/1,116,24.757806,10.639849,SUPERELEV_STORE,D,y,n,o,D
IMH_07/1,88,24.761106,10.64217,TANKS,D,n,n,n,D
IMH_07/1,52,24.757857,10.640189,WOOD PILE,D,y,n,o,D
IMH_07/1,94,24.756525,10.640606,O/C,L,y,n,n,L
IMH_07/1,96,24.75664,10.64058,YOUNG O/C,L,y,n,n,L
IMH_07/3,134,24.756194,10.63932,DIWAN,D,y,D,D,diwan
IMH_07/3,76,24.756849,10.639826,DUMP,D,y,n,o,D
IMH_07/3,135,24.75624,10.640131,HUT,D,y,H,o,H
IMH_07/3,136,24.756636,10.6398,KITCHEN,D,y,n,o,D
IMH_07/3,137,24.756121,10.639599,MOSQUE,D,y,n,o,D
IMH_07/3,138,24.756658,10.639739,STORE,D,y,n,o,D
IMH_07/3,139,24.756664,10.639773,STORE,D,y,n,o,D
IMH_07/3,74,24.756501,10.639899,TANKS,D,y,n,o,D
IMH_07/3,75,24.756425,10.640001,TANKS,D,y,n,o,D
IMH_07/3,71,24.75659,10.639609,WOOD PILE,D,y,n,o,D
IMH_07/3,72,24.756277,10.640088,WOOD PILE,D,y,n,o,D
IMH_07/3,62,24.756544,10.64055,DUNG,L,y,n,n,L
IMH_07/3,61,24.755724,10.640775,DUNG,L,y,n,n,L
IMH_07/3,90,24.75575,10.6408,O/C,L,y,n,n,L
IMH_07/3,100,24.756744,10.63974,YOUNG O/C,L,y,n,n,L
IMH_07/3,101,24.75673,10.639802,YOUNG O/C,L,y,n,n,L
IMH_07/3,93,24.755725,10.640845,YOUNG O/C,L,y,n,n,L
IMH_07/3,91,24.755746,10.640827,YOUNG O/C,L,y,n,n,L
IMH_07/3,92,24.755729,10.640834,YOUNG O/C,L,y,n,n,L
IMH_07/4,83,24.652765,10.69851,CHARCOAL ACCUMULATION,D,y,n,o,D
IMH_07/4,84,24.652595,10.698775,CHARCOAL ACCUMULATION,D,y,n,o,D
IMH_07/4,148,24.652753,10.698489,DIWAN,D,y,D,D,diwan
IMH_07/4,89,24.65213,10.698975,DUMP,D,y,n,o,D
IMH_07/4,144,24.651885,10.698589,HUT,D,y,H,o,H
IMH_07/4,145,24.652069,10.698829,KITCHEN,D,y,n,o,D
IMH_07/4,147,24.652043,10.698553,MOSQUE,D,y,n,o,D
IMH_07/4,146,24.651915,10.69907,STORE,D,y,n,o,D
IMH_07/4,86,24.652266,10.698177,TANKS,D,y,n,o,D
